,date_time,id,number
444951,2017/1/18 4:40,960112FF01031011,28.0
446027,2017/1/18 5:40,960112FF01031011,22.120001000000002
447167,2017/1/18 6:41,960112FF01031011,10.16
448379,2017/1/18 7:41,960112FF01031011,20.92
449778,2017/1/18 8:41,960112FF01031011,33.32
451217,2017/1/18 9:41,960112FF01031011,3.2
452647,2017/1/18 10:42,960112FF01031011,21.0
454217,2017/1/18 11:42,960112FF01031011,12.0
455629,2017/1/18 12:42,960112FF01031011,2.44
456965,2017/1/18 13:42,960112FF01031011,11.24
458411,2017/1/18 14:42,960112FF01031011,3.36
459821,2017/1/18 15:42,960112FF01031011,10.92
461280,2017/1/18 16:42,960112FF01031011,12.96
462620,2017/1/18 17:42,960112FF01031011,11.2
463806,2017/1/18 18:42,960112FF01031011,0.0
465121,2017/1/18 19:43,960112FF01031011,27.48
466368,2017/1/18 20:43,960112FF01031011,20.68
467516,2017/1/18 21:43,960112FF01031011,10.44
468609,2017/1/18 22:44,960112FF01031011,19.4
469693,2017/1/18 23:44,960112FF01031011,9.28
470758,2017/1/19 0:44,960112FF01031011,11.84
471838,2017/1/19 1:44,960112FF01031011,28.200001
472885,2017/1/19 2:44,960112FF01031011,3.24
473840,2017/1/19 3:45,960112FF01031011,20.52
474815,2017/1/19 4:45,960112FF01031011,19.959999
475834,2017/1/19 5:45,960112FF01031011,3.52
477368,2017/1/19 6:45,960112FF01031011,20.76
478486,2017/1/19 7:46,960112FF01031011,2.52
479761,2017/1/19 8:46,960112FF01031011,20.68
481085,2017/1/19 9:46,960112FF01031011,22.76
482449,2017/1/19 10:46,960112FF01031011,10.08
483638,2017/1/19 11:46,960112FF01031011,20.200001
484738,2017/1/19 12:47,960112FF01031011,16.92
485768,2017/1/19 13:47,960112FF01031011,11.8
486852,2017/1/19 14:50,960112FF01031011,9.4
487903,2017/1/19 15:50,960112FF01031011,0.0
489068,2017/1/19 16:50,960112FF01031011,27.4
490133,2017/1/19 17:50,960112FF01031011,0.0
491173,2017/1/19 18:51,960112FF01031011,8.84
492265,2017/1/19 19:52,960112FF01031011,3.04
493308,2017/1/19 20:52,960112FF01031011,0.76
494343,2017/1/19 21:53,960112FF01031011,29.24
495343,2017/1/19 22:53,960112FF01031011,11.96
496383,2017/1/19 23:53,960112FF01031011,13.04
497394,2017/1/20 0:54,960112FF01031011,2.12
498498,2017/1/20 1:54,960112FF01031011,30.08
499526,2017/1/20 2:54,960112FF01031011,13.08
500586,2017/1/20 3:54,960112FF01031011,12.24
501576,2017/1/20 4:54,960112FF01031011,11.32
502562,2017/1/20 5:54,960112FF01031011,12.56
503644,2017/1/20 6:54,960112FF01031011,10.48
504737,2017/1/20 7:55,960112FF01031011,12.92
505875,2017/1/20 8:55,960112FF01031011,2.32
507063,2017/1/20 9:55,960112FF01031011,11.2
508232,2017/1/20 10:55,960112FF01031011,2.44
509419,2017/1/20 11:55,960112FF01031011,19.24
510594,2017/1/20 12:55,960112FF01031011,3.0
511707,2017/1/20 13:55,960112FF01031011,26.799999
512908,2017/1/20 14:55,960112FF01031011,12.16
514137,2017/1/20 15:55,960112FF01031011,9.0
515359,2017/1/20 16:56,960112FF01031011,2.8
516514,2017/1/20 17:56,960112FF01031011,19.959999
517684,2017/1/20 18:56,960112FF01031011,12.84
518775,2017/1/20 19:56,960112FF01031011,11.44
519946,2017/1/20 20:56,960112FF01031011,12.64
521180,2017/1/20 21:56,960112FF01031011,20.24
522323,2017/1/20 22:56,960112FF01031011,19.959999
523550,2017/1/20 23:56,960112FF01031011,2.6
524740,2017/1/21 0:56,960112FF01031011,12.72
525904,2017/1/21 1:57,960112FF01031011,3.92
527050,2017/1/21 2:57,960112FF01031011,4.48
528136,2017/1/21 3:57,960112FF01031011,12.72
529210,2017/1/21 4:57,960112FF01031011,3.0
530286,2017/1/21 5:57,960112FF01031011,19.719998999999998
531348,2017/1/21 6:57,960112FF01031011,28.6
532456,2017/1/21 7:58,960112FF01031011,12.8
533746,2017/1/21 8:58,960112FF01031011,19.360001
534951,2017/1/21 9:58,960112FF01031011,3.44
536192,2017/1/21 10:58,960112FF01031011,9.48
537454,2017/1/21 11:58,960112FF01031011,11.88
538707,2017/1/21 12:58,960112FF01031011,18.4
539840,2017/1/21 13:58,960112FF01031011,20.360001
540937,2017/1/21 14:58,960112FF01031011,10.36
542097,2017/1/21 15:58,960112FF01031011,3.52
543319,2017/1/21 16:59,960112FF01031011,18.92
544509,2017/1/21 17:59,960112FF01031011,11.16
545737,2017/1/21 18:59,960112FF01031011,17.16
547057,2017/1/21 19:59,960112FF01031011,0.0
548271,2017/1/21 20:59,960112FF01031011,10.8
549324,2017/1/21 21:59,960112FF01031011,11.88
550390,2017/1/21 22:59,960112FF01031011,0.6
551550,2017/1/21 23:59,960112FF01031011,21.48
552794,2017/1/22 1:00,960112FF01031011,29.08
554015,2017/1/22 2:00,960112FF01031011,12.6
555233,2017/1/22 3:00,960112FF01031011,17.24
556373,2017/1/22 4:00,960112FF01031011,2.64
557482,2017/1/22 5:00,960112FF01031011,13.04
558682,2017/1/22 6:01,960112FF01031011,13.28
559856,2017/1/22 7:00,960112FF01031011,4.24
561098,2017/1/22 8:00,960112FF01031011,9.52
562596,2017/1/22 9:01,960112FF01031011,14.24
563954,2017/1/22 10:01,960112FF01031011,11.0
565374,2017/1/22 11:01,960112FF01031011,21.84
566878,2017/1/22 12:01,960112FF01031011,18.48
568086,2017/1/22 13:01,960112FF01031011,3.32
569323,2017/1/22 14:02,960112FF01031011,29.16
570686,2017/1/22 15:02,960112FF01031011,0.0
572045,2017/1/22 16:02,960112FF01031011,35.959998999999996
573326,2017/1/22 17:02,960112FF01031011,4.04
574547,2017/1/22 18:02,960112FF01031011,19.52
575750,2017/1/22 19:02,960112FF01031011,2.92
576931,2017/1/22 20:02,960112FF01031011,11.96
578091,2017/1/22 21:02,960112FF01031011,12.6
579252,2017/1/22 22:03,960112FF01031011,0.0
580485,2017/1/22 23:03,960112FF01031011,12.68
581706,2017/1/23 0:03,960112FF01031011,10.92
582844,2017/1/23 1:04,960112FF01031011,2.44
583903,2017/1/23 2:04,960112FF01031011,4.0
584972,2017/1/23 3:04,960112FF01031011,2.84
586078,2017/1/23 4:04,960112FF01031011,0.0
